Fold,kNN,C4.5,SVM,ANN
0,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
1,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
2,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
3,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
4,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
5,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
6,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
7,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
8,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
9,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
10,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
11,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
12,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
13,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
14,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
15,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
16,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
17,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
18,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
19,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
20,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
21,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
22,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
23,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
24,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
25,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
26,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
27,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
28,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
29,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
30,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
31,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
32,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
33,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
34,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
35,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
36,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
37,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001}"
38,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
39,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
40,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
41,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
42,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'rbf', 'gamma': 'auto'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
43,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
44,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
45,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'entropy'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
46,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
47,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
48,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
